Age,Sex,Condition,Mouse.Genotyping,ID,Timepoint,Genotype,DaysOfEE,DaysOfEE0
8.5,M,Enriched,Heterozygous,901,Pre1,CREB +/-,-4,0
8.5,M,Standard,Heterozygous,899,Pre1,CREB +/-,-4,0
8.5,M,Standard,Heterozygous,898,Pre1,CREB +/-,-4,0
9.5,M,Enriched,Wildtype,891,Pre1,CREB +/+,-4,0
9.5,M,Standard,Wildtype,893,Pre1,CREB +/+,-4,0
8.5,M,Enriched,Heterozygous,901,Pre2,CREB +/-,-3,0
8.5,M,Standard,Heterozygous,899,Pre2,CREB +/-,-3,0
9.5,M,Enriched,Heterozygous,889,Pre2,CREB +/-,-3,0
8.5,M,Standard,Heterozygous,898,Pre2,CREB +/-,-3,0
9.5,F,Enriched,Heterozygous,895,Pre2,CREB +/-,-3,0
9.5,M,Enriched,Wildtype,891,Pre2,CREB +/+,-3,0
9.5,M,Standard,Wildtype,893,Pre2,CREB +/+,-3,0
8.5,M,Enriched,Heterozygous,901,24h,CREB +/-,1,1
8.5,M,Standard,Heterozygous,899,24h,CREB +/-,1,1
9.5,M,Enriched,Heterozygous,889,24h,CREB +/-,1,1
8.5,M,Standard,Heterozygous,898,24h,CREB +/-,1,1
9.5,F,Enriched,Heterozygous,895,24h,CREB +/-,1,1
9.5,M,Enriched,Wildtype,891,24h,CREB +/+,1,1
9.5,M,Standard,Wildtype,893,24h,CREB +/+,1,1
8.5,M,Enriched,Heterozygous,901,48h,CREB +/-,2,2
8.5,M,Standard,Heterozygous,899,48h,CREB +/-,2,2
9.5,M,Enriched,Heterozygous,889,48h,CREB +/-,2,2
8.5,M,Standard,Heterozygous,898,48h,CREB +/-,2,2
9.5,F,Enriched,Heterozygous,895,48h,CREB +/-,2,2
9.5,M,Enriched,Wildtype,891,48h,CREB +/+,2,2
9.5,M,Standard,Wildtype,893,48h,CREB +/+,2,2
8.5,M,Enriched,Heterozygous,901,1 week,CREB +/-,8,8
8.5,M,Standard,Heterozygous,899,1 week,CREB +/-,8,8
9.5,M,Enriched,Heterozygous,889,1 week,CREB +/-,8,8
8.5,M,Standard,Heterozygous,898,1 week,CREB +/-,8,8
9.5,F,Enriched,Heterozygous,895,1 week,CREB +/-,8,8
9.5,M,Enriched,Wildtype,891,1 week,CREB +/+,8,8
9.5,M,Standard,Wildtype,893,1 week,CREB +/+,8,8
8.5,M,Enriched,Heterozygous,901,2 week,CREB +/-,16,16
8.5,M,Standard,Heterozygous,899,2 week,CREB +/-,16,16
9.5,M,Enriched,Heterozygous,889,2 week,CREB +/-,16,16
8.5,M,Standard,Heterozygous,898,2 week,CREB +/-,16,16
9.5,F,Enriched,Heterozygous,895,2 week,CREB +/-,16,16
9.5,M,Enriched,Wildtype,891,2 week,CREB +/+,16,16
9.5,M,Standard,Wildtype,893,2 week,CREB +/+,16,16
8.5,M,Enriched,Homozygous,900,Pre1,CREB -/-,-4,0
9.5,M,Enriched,Heterozygous,890,Pre1,CREB +/-,-4,0
8.5,M,Standard,Homozygous,902,Pre1,CREB -/-,-4,0
8.5,M,Enriched,Homozygous,900,Pre2,CREB -/-,-3,0
9.5,M,Enriched,Heterozygous,890,Pre2,CREB +/-,-3,0
9.5,M,Standard,Heterozygous,892,Pre2,CREB +/-,-3,0
9.5,F,Enriched,Wildtype,894,Pre2,CREB +/+,-3,0
9.5,F,Enriched,Homozygous,897,Pre2,CREB -/-,-3,0
8.5,M,Standard,Homozygous,902,Pre2,CREB -/-,-3,0
8.5,F,Enriched,Wildtype,905,Pre2,CREB +/+,-3,0
8.5,M,Enriched,Homozygous,900,24h,CREB -/-,1,1
9.5,M,Enriched,Heterozygous,890,24h,CREB +/-,1,1
9.5,M,Standard,Heterozygous,892,24h,CREB +/-,1,1
9.5,F,Enriched,Wildtype,894,24h,CREB +/+,1,1
9.5,F,Enriched,Homozygous,897,24h,CREB -/-,1,1
8.5,M,Standard,Homozygous,902,24h,CREB -/-,1,1
8.5,F,Enriched,Wildtype,905,24h,CREB +/+,1,1
8.5,M,Enriched,Homozygous,900,48h,CREB -/-,2,2
9.5,M,Enriched,Heterozygous,890,48h,CREB +/-,2,2
9.5,M,Standard,Heterozygous,892,48h,CREB +/-,2,2
9.5,F,Enriched,Wildtype,894,48h,CREB +/+,2,2
9.5,F,Enriched,Homozygous,897,48h,CREB -/-,2,2
8.5,M,Standard,Homozygous,902,48h,CREB -/-,2,2
8.5,F,Enriched,Wildtype,905,48h,CREB +/+,2,2
8.5,M,Enriched,Homozygous,900,1 week,CREB -/-,8,8
9.5,M,Enriched,Heterozygous,890,1 week,CREB +/-,8,8
9.5,M,Standard,Heterozygous,892,1 week,CREB +/-,8,8
9.5,F,Enriched,Wildtype,894,1 week,CREB +/+,8,8
9.5,F,Enriched,Homozygous,897,1 week,CREB -/-,8,8
8.5,M,Standard,Homozygous,902,1 week,CREB -/-,8,8
8.5,F,Enriched,Wildtype,905,1 week,CREB +/+,8,8
8.5,M,Enriched,Homozygous,900,2 week,CREB -/-,16,16
9.5,M,Enriched,Heterozygous,890,2 week,CREB +/-,16,16
9.5,M,Standard,Heterozygous,892,2 week,CREB +/-,16,16
9.5,F,Enriched,Wildtype,894,2 week,CREB +/+,16,16
9.5,F,Enriched,Homozygous,897,2 week,CREB -/-,16,16
8.5,M,Standard,Homozygous,902,2 week,CREB -/-,16,16
8.5,F,Enriched,Wildtype,905,2 week,CREB +/+,16,16
9.3,M,Enriched,Heterozygous,906,Pre1,CREB +/-,-4,0
9.3,M,Enriched,Homozygous,909,Pre1,CREB -/-,-4,0
9.3,M,Enriched,Heterozygous,907,Pre1,CREB +/-,-4,0
9.3,M,Enriched,Heterozygous,908,Pre1,CREB +/-,-4,0
9.3,M,Enriched,Homozygous,910,Pre1,CREB -/-,-4,0
9.3,M,Enriched,Heterozygous,906,Pre2,CREB +/-,-3,0
9.3,M,Enriched,Homozygous,909,Pre2,CREB -/-,-3,0
9.3,M,Enriched,Heterozygous,907,Pre2,CREB +/-,-3,0
9.3,M,Enriched,Heterozygous,908,Pre2,CREB +/-,-3,0
9.3,M,Enriched,Homozygous,910,Pre2,CREB -/-,-3,0
9.3,M,Enriched,Homozygous,909,24h,CREB -/-,1,1
9.3,M,Enriched,Heterozygous,907,24h,CREB +/-,1,1
9.3,M,Enriched,Heterozygous,908,24h,CREB +/-,1,1
9.3,M,Enriched,Homozygous,910,24h,CREB -/-,1,1
9.3,M,Enriched,Heterozygous,906,48h,CREB +/-,2,2
9.3,M,Enriched,Homozygous,909,48h,CREB -/-,2,2
9.3,M,Enriched,Heterozygous,907,48h,CREB +/-,2,2
9.3,M,Enriched,Heterozygous,908,48h,CREB +/-,2,2
9.3,M,Enriched,Homozygous,910,48h,CREB -/-,2,2
9.3,M,Enriched,Heterozygous,906,1 week,CREB +/-,8,8
9.3,M,Enriched,Homozygous,909,1 week,CREB -/-,8,8
9.3,M,Enriched,Heterozygous,907,1 week,CREB +/-,8,8
9.3,M,Enriched,Heterozygous,908,1 week,CREB +/-,8,8
9.3,M,Enriched,Homozygous,910,1 week,CREB -/-,8,8
9.3,M,Enriched,Heterozygous,906,2 week,CREB +/-,16,16
9.3,M,Enriched,Homozygous,909,2 week,CREB -/-,16,16
9.3,M,Enriched,Heterozygous,907,2 week,CREB +/-,16,16
9.3,M,Enriched,Heterozygous,908,2 week,CREB +/-,16,16
9.3,M,Enriched,Homozygous,910,2 week,CREB -/-,16,16
8.1,M,Enriched,Homozygous,919,Pre1,CREB -/-,-4,0
8.1,M,Enriched,Heterozygous,917,Pre1,CREB +/-,-4,0
8.1,M,Standard,Homozygous,920,Pre1,CREB -/-,-4,0
8.1,M,Standard,Heterozygous,918,Pre1,CREB +/-,-4,0
8.1,M,Standard,Wildtype,928,Pre1,CREB +/+,-4,0
8.1,M,Standard,Wildtype,929,Pre1,CREB +/+,-4,0
8.1,M,Standard,Heterozygous,931,Pre1,CREB +/-,-4,0
8.1,M,Enriched,Homozygous,919,Pre2,CREB -/-,-3,0
8.1,M,Enriched,Heterozygous,917,Pre2,CREB +/-,-3,0
8.1,M,Standard,Homozygous,920,Pre2,CREB -/-,-3,0
8.1,M,Standard,Heterozygous,918,Pre2,CREB +/-,-3,0
8.1,M,Standard,Wildtype,928,Pre2,CREB +/+,-3,0
8.1,M,Standard,Wildtype,929,Pre2,CREB +/+,-3,0
8.1,M,Standard,Heterozygous,931,Pre2,CREB +/-,-3,0
8.1,M,Enriched,Homozygous,919,24h,CREB -/-,1,1
8.1,M,Enriched,Heterozygous,917,24h,CREB +/-,1,1
8.1,M,Standard,Homozygous,920,24h,CREB -/-,1,1
8.1,M,Standard,Heterozygous,918,24h,CREB +/-,1,1
8.1,M,Standard,Wildtype,928,24h,CREB +/+,1,1
8.1,M,Standard,Wildtype,929,24h,CREB +/+,1,1
8.1,M,Standard,Heterozygous,931,24h,CREB +/-,1,1
8.1,M,Enriched,Homozygous,919,48h,CREB -/-,2,2
8.1,M,Enriched,Heterozygous,917,48h,CREB +/-,2,2
8.1,M,Standard,Homozygous,920,48h,CREB -/-,2,2
8.1,M,Standard,Heterozygous,918,48h,CREB +/-,2,2
8.1,M,Standard,Wildtype,928,48h,CREB +/+,2,2
8.1,M,Standard,Wildtype,929,48h,CREB +/+,2,2
8.1,M,Standard,Heterozygous,931,48h,CREB +/-,2,2
8.1,M,Enriched,Homozygous,919,2 week,CREB -/-,16,16
8.1,M,Enriched,Heterozygous,917,2 week,CREB +/-,16,16
8.1,M,Standard,Homozygous,920,2 week,CREB -/-,16,16
8.1,M,Standard,Heterozygous,918,2 week,CREB +/-,16,16
8.1,M,Standard,Wildtype,928,2 week,CREB +/+,16,16
8.1,M,Standard,Wildtype,929,2 week,CREB +/+,16,16
8.1,M,Standard,Heterozygous,931,2 week,CREB +/-,16,16
8.1,M,Enriched,Wildtype,915,Pre1,CREB +/+,-4,0
8.1,M,Enriched,Heterozygous,916,Pre1,CREB +/-,-4,0
8.1,M,Enriched,Wildtype,921,Pre1,CREB +/+,-4,0
